2021-02-02 10:31:34:	warmed up the filament remotely this morning
2021-02-02 10:31:39:	about to turn it on for low mag cook
2021-02-02 10:31:43:	sectino 685
2021-02-02 10:31:56:	clicked ON
2021-02-02 10:32:00:	aperture is open
2021-02-02 10:32:44:	initial bright current: 62.9
2021-02-02 11:21:00:	59.9
2021-02-02 11:21:06:	59.8
2021-02-02 11:21:08:	60
2021-02-02 11:21:09:	60.3
2021-02-02 11:21:12:	60.8
2021-02-02 11:21:20:	59.8
2021-02-02 11:21:27:	60
2021-02-02 11:21:30:	59.9
2021-02-02 11:21:38:	59.9
2021-02-02 11:21:49:	est 231% change
2021-02-02 11:21:52:	60.3
2021-02-02 11:22:02:	60.4
2021-02-02 11:22:06:	60.3
2021-02-02 11:22:09:	60.7
2021-02-02 11:22:12:	60.6
2021-02-02 11:22:14:	60.7
2021-02-02 11:22:17:	60.1
2021-02-02 11:22:25:	60.4
2021-02-02 11:22:37:	59.9
2021-02-02 11:22:49:	60.3
2021-02-02 11:22:54:	60.8
2021-02-02 11:22:57:	60.1
2021-02-02 11:23:16:	60.5
2021-02-02 11:23:26:	59.8
2021-02-02 11:23:39:	60.1
2021-02-02 11:23:44:	60
2021-02-02 11:23:50:	59.9
2021-02-02 11:23:52:	60
2021-02-02 11:23:57:	est 91%
2021-02-02 11:23:59:	60.2
2021-02-02 11:24:02:	60.5
2021-02-02 11:24:06:	60.4
2021-02-02 11:24:09:	60.3
2021-02-02 11:24:15:	59.9
2021-02-02 11:24:28:	60.4
2021-02-02 11:24:31:	60.5
2021-02-02 11:24:39:	60
2021-02-02 11:24:55:	59.9
2021-02-02 11:24:57:	60.1
2021-02-02 11:25:10:	60.2
2021-02-02 11:25:37:	60.3
2021-02-02 11:25:38:	60.2
2021-02-02 11:25:41:	60.4
2021-02-02 11:25:53:	60.1
2021-02-02 11:25:59:	est 38%
2021-02-02 11:26:01:	60
2021-02-02 11:26:33:	60.4
2021-02-02 11:26:45:	59.8
2021-02-02 11:26:52:	59.9
2021-02-02 11:27:05:	60.3
2021-02-02 11:27:10:	59.9
2021-02-02 11:27:15:	59.7
2021-02-02 11:27:18:	59.8
2021-02-02 11:27:35:	59.7
2021-02-02 11:27:46:	59.9
2021-02-02 11:27:53:	59.6
2021-02-02 11:28:10:	est 58%
2021-02-02 11:28:13:	60.1
2021-02-02 11:28:16:	60.6
2021-02-02 11:28:25:	60.9
2021-02-02 11:28:27:	60.3
2021-02-02 11:28:32:	60.2
2021-02-02 11:28:48:	60.4
2021-02-02 11:28:51:	60
2021-02-02 11:29:11:	60.2
2021-02-02 11:29:23:	59.8
2021-02-02 11:29:38:	60
2021-02-02 11:29:48:	60.1
2021-02-02 11:29:52:	60
2021-02-02 11:30:03:	60.4
2021-02-02 11:30:21:	est 33%
2021-02-02 11:30:26:	60.2
2021-02-02 11:30:30:	59.9
2021-02-02 11:30:45:	59.7
2021-02-02 11:30:51:	59.5
2021-02-02 11:31:05:	59.9
2021-02-02 11:31:11:	59.7
2021-02-02 11:31:24:	59.6
2021-02-02 11:31:40:	59.8
2021-02-02 11:31:54:	60
2021-02-02 11:32:10:	59.5
2021-02-02 11:32:30:	est 17%
2021-02-02 11:32:35:	starting
2021-02-02 11:32:38:	59.7
2021-02-02 11:32:39:	59.8
2021-02-02 11:33:14:	60.3
2021-02-02 11:33:35:	60.4
2021-02-02 11:33:42:	59.6
2021-02-02 11:33:50:	59.7
2021-02-02 11:33:54:	59.9
2021-02-02 11:34:09:	60.3
2021-02-02 11:34:15:	60.1
2021-02-02 11:34:25:	59.8
2021-02-02 11:34:34:	59.5
2021-02-02 11:34:40:	60.2
